ANNEE ,CODE STATIGEST,RAISON SOCIALE,CODE POSTAL,VILLE,TYPE PARTENARIAT,PASSAGE,HEURES,BUDGET ESTIMÉ,CODE Chef de secteur
2022,81n45,LEROY MERLIN - 088,81000,ALBI,Merch,Quinzaine,4h00,"  3 541,00 € ",315
2022,20r81,LEROY MERLIN - 069,80085,AMIENS,Merch,Quinzaine,2h00,"  1 771,00 € ",521
2022,20rh8,LEROY MERLIN - 075,90400,ANDELNANS,Merch,Semaine,3h30,"  6 552,00 € ",323
2022,20r24,LEROY MERLIN - 154,74112,ANNEMASSE CEDEX,Merch,Semaine,3h00,"  5 044,00 € ",323
2022,20ppt,LEROY MERLIN - 048,62000,ARRAS,Merch,Semaine,2h00,"  3 362,00 € ",521
2022,20n7d,LEROY MERLIN - 140,13400,AUBAGNE,Merch,Semaine,3h30,"  5 884,00 € ",379
2022,20ntu,LEROY MERLIN - 110,31130,BALMA CEDEX,Merch,Semaine,6h00,"  10 087,00 € ",412
2022,20y2a,LEROY MERLIN - 291,44115,BASSE GOULAINE,Merch,Semaine,2h00,"  3 541,00 € ",444
2022,20nkn,LEROY MERLIN - 162,25000,BESANCON,Merch,Semaine,3h30,"  5 884,00 € ",323
2022,20nzm,LEROY MERLIN - 147,35830,BETTON,Merch,Semaine,3h00,"  5 044,00 € ",497
2022,20nzm,LEROY MERLIN - 147,35830,BETTON,Merch,Semaine,3h00,"  5 616,00 € ",497
2022,20nx4,LEROY MERLIN - 173,33380,BIGANOS,Merch,Quinzaine,2h00,"  1 771,00 € ",414
2022,20pa0,LEROY MERLIN - 176,47550,BOE,Merch,Semaine,3h00,"  5 044,00 € ",412
2022,20r5r,LEROY MERLIN - 143,78390,BOIS D ARCY,Merch,Semaine,4h00,"  6 725,00 € ",311
2022,20r5r,LEROY MERLIN - 143,78390,BOIS D ARCY,Merch,Quinzaine,3h00,"  2 656,00 € ",311
2022,20rkk,LEROY MERLIN - 022,94380,BONNEUIL,Merch,Semaine,5h00,"  8 406,00 € ",283
2022,20nvb,LEROY MERLIN - 151,33270,BOULIAC,Merch,Semaine,3h00,"  5 044,00 € ",414
2022,20r4x,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,Merch,Semaine,4h00,"  6 725,00 € ",283
2022,20n84,LEROY MERLIN - 066,13480,CABRIES,Merch,Semaine,3h00,"  5 044,00 € ",379
2022,20ppu,LEROY MERLIN - 159,62100,CALAIS,Merch,Semaine,2h00,"  3 362,00 € ",499
2022,20r4z,LEROY MERLIN - 163,77247,CESSON CEDEX,Merch,Semaine,6h00,"  10 087,00 € ",283
2022,20p0d,LEROY MERLIN - 025,37174,CHAMBRAY LES TOURS,Merch,Semaine,2h00,"  3 362,00 € ",460
2022,20pf5,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,Merch,Semaine,2h00,"  3 362,00 € ",325
2022,20nyc,LEROY MERLIN - 005,35135,CHANTEPIE,Merch,Semaine,5h00,"  8 406,00 € ",497
2022,20nyc,LEROY MERLIN - 005,35135,CHANTEPIE,Merch,Semaine,5h00,"  9 360,00 € ",497
2022,20n5h,LEROY MERLIN - 039,08000,CHARLEVILLE MEZIERES,Merch,Quinzaine,2h00,"  1 771,00 € ",536
2022,20nny,LEROY MERLIN - 036,28000,CHARTRES,Merch,Quinzaine,3h00,"  2 656,00 € ",497
2022,20rcy,LEROY MERLIN - 051,86360,CHASSENEUIL DU POITOU,Merch,Quinzaine,2h00,"  1 681,00 € ",415
2022,20nzy,LEROY MERLIN - 112,36001,CHATEAUROUX,Merch,Quinzaine,2h00,"  1 681,00 € ",350
2022,20r51,LEROY MERLIN - 185,77124,CHAUCONIN NEUFMONTIER,Merch,Quinzaine,2h00,"  1 771,00 € ",536
2022,20r4a,LEROY MERLIN - 029,77508,CHELLES,Merch,Semaine,4h00,"  6 725,00 € ",283
2022,20pbc,LEROY MERLIN - 174,49300,CHOLET,Merch,Quinzaine,2h00,"  1 771,00 € ",460
2022,20ps7,LEROY MERLIN - 133,63100,CLERMONT FERRAND,Merch,Semaine,3h00,"  5 044,00 € ",350
2022,20r4m,LEROY MERLIN - 116,77090,COLLEGIEN,Merch,Semaine,5h30,"  9 247,00 € ",283
2022,20r4m,LEROY MERLIN - 116,77090,COLLEGIEN,Merch,Semaine,3h00,"  5 044,00 € ",283
2022,20nua,LEROY MERLIN - 111,31770,COLOMIERS,Merch,Semaine,6h00,"  10 087,00 € ",412
2022,20pd2,LEROY MERLIN - 186,51350,CORMONTREUIL,Merch,Semaine,2h30,"  4 203,00 € ",536
2022,20r1v,LEROY MERLIN - 177,74330,EPAGNY,Merch,Semaine,3h00,"  5 044,00 € ",347
2022,20r1v,LEROY MERLIN - 177,74330,EPAGNY,Merch,Semaine,3h00,"  5 616,00 € ",347
2022,20pjb,LEROY MERLIN - 074,57600,FORBACH,Merch,Semaine,2h30,"  4 680,00 € ",523
2022,20pjb,LEROY MERLIN - 074,57600,FORBACH,Merch,Semaine,2h30,"  4 203,00 € ",523
2022,20ndx,LEROY MERLIN - 298,20600,FURIANI,Merch,Quinzaine,2h00,"  1 771,00 € ",612
2022,20rjh,LEROY MERLIN - 072,92230,GENNEVILLIERS,Merch,Semaine,4h00,"  6 725,00 € ",285
2022,20rjh,LEROY MERLIN - 072,92230,GENNEVILLIERS,Merch,Semaine,1h30,"  2 522,00 € ",285
2022,20rmb,LEROY MERLIN - 172,95500,GONESSE,Merch,Semaine,4h00,"  6 725,00 € ",292
2022,20nwm,LEROY MERLIN - 156,33170,GRADIGNAN,Merch,Semaine,3h00,"  5 044,00 € ",414
2022,20pky,LEROY MERLIN - 030,59760,GRANDE SYNTHE,Merch,Semaine,1h30,"  2 522,00 € ",499
2022,20p5h,LEROY MERLIN - 297,44350,GUERANDE,Merch,Quinzaine,2h00,"  1 681,00 € ",444
2022,20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,Merch,Semaine,3h00,"  5 616,00 € ",443
2022,20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,Merch,Semaine,3h00,"  5 044,00 € ",443
2022,20pvs,LEROY MERLIN - 082,67500,HAGUENAU,Merch,Semaine,2h30,"  4 203,00 € ",523
2022,20pvs,LEROY MERLIN - 082,67500,HAGUENAU,Merch,Semaine,2h30,"  4 680,00 € ",523
2022,20pm9,LEROY MERLIN - 050,59330,HAUTMONT,Merch,Semaine,2h00,"  3 362,00 € ",499
2022,20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,Merch,Semaine,4h00,"  6 725,00 € ",325
2022,20p8b,LEROY MERLIN - 020,45140,INGRE,Merch,Semaine,3h00,"  5 044,00 € ",524
2022,20r3u,LEROY MERLIN - 067,76230,ISNEAUVILLE,Merch,Semaine,4h00,"  6 725,00 € ",480
2022,20rkm,LEROY MERLIN - 142,94200,IVRY SUR SEINE,Merch,Semaine,5h00,"  8 406,00 € ",311
2022,20rkm,LEROY MERLIN - 142,94200,IVRY SUR SEINE,Merch,Semaine,5h00,"  8 406,00 € ",311
2022,20pnn,LEROY MERLIN - 078,60880,JAUX,Merch,Semaine,4h00,"  6 725,00 € ",292
2022,20rbs,LEROY MERLIN - 160,85005,LA ROCHE SUR YON,Merch,Semaine,2h00,"  3 362,00 € ",460
2022,20pm1,LEROY MERLIN - 014,59174,LA SENTINELLE,Merch,Semaine,2h30,"  4 203,00 € ",499
2022,20r9x,LEROY MERLIN - 047,83160,LA VALETTE DU VAR,Merch,Semaine,4h00,"  6 725,00 € ",380
2022,20nh5,LEROY MERLIN - 046,22360,LANGUEUX,Merch,Semaine,4h00,"  6 725,00 € ",478
2022,20ram,LEROY MERLIN - 195,84276,LE PONTET,Merch,Semaine,4h00,"  6 725,00 € ",378
2022,20pm3,LEROY MERLIN - 032,59810,LESQUIN,Merch,Semaine,2h30,"  4 203,00 € ",499
2022,20r82,LEROY MERLIN - 004,80330,LONGUEAU,Merch,Quinzaine,2h00,"  1 771,00 € ",521
2022,20pym,LEROY MERLIN - 135,71000,MACON,Merch,Semaine,3h00,"  5 044,00 € ",376
2022,20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,Merch,Semaine,3h30,"  5 884,00 € ",325
2022,20ndn,LEROY MERLIN - 175,19360,MALEMORT SUR CORREZE,Merch,Quinzaine,2h00,"  1 771,00 € ",350
2022,20n8y,LEROY MERLIN - 076,13464,MARSEILLE,Merch,Semaine,2h00,"  3 362,00 € ",379
2022,20n7r,LEROY MERLIN - 119,13011,MARSEILLE,Merch,Semaine,3h30,"  5 884,00 € ",379
2022,20n7m,LEROY MERLIN - 061,13500,MARTIGUES,Merch,Semaine,2h30,"  4 203,00 € ",379
2022,20rhf,LEROY MERLIN - 045,91300,MASSY,Merch,Semaine,8h00,"  13 450,00 € ",524
2022,20rhf,LEROY MERLIN - 045,91300,MASSY,Merch,Semaine,4h00,"  6 725,00 € ",524
2022,20nvr,LEROY MERLIN - 049,33693,MERIGNAC,Merch,Semaine,3h00,"  5 044,00 € ",414
2022,20ppx,LEROY MERLIN - 003,62155,MERLIMONT,Merch,Semaine,2h00,"  3 362,00 € ",521
2022,20pjc,LEROY MERLIN - 145,57070,METZ,Merch,Semaine,2h00,"  3 362,00 € ",325
2022,20nfc,LEROY MERLIN - 293,20167,MEZZAVIA,Merch,Quinzaine,2h00,"  1 771,00 € ",612
2022,20n96,LEROY MERLIN - 060,14120,MONDEVILLE,Merch,Semaine,3h30,"  5 884,00 € ",478
2022,20r98,LEROY MERLIN - 189,82000,MONTAUBAN,Merch,Semaine,3h30,"  5 884,00 € ",412
2022,20rkz,LEROY MERLIN - 013,95370,MONTIGNY LES CORMEILLES,Merch,Semaine,3h00,"  5 044,00 € ",292
2022,20rkz,LEROY MERLIN - 013,95370,MONTIGNY LES CORMEILLES,Merch,Semaine,3h00,"  5 044,00 € ",292
2022,20r3a,LEROY MERLIN - 184,76290,MONTIVILLIERS,Merch,Semaine,4h00,"  6 725,00 € ",480
2022,20rm0,LEROY MERLIN - 010,95560,MONTSOULT,Merch,Semaine,4h00,"  6 725,00 € ",292
2022,20pwz,LEROY MERLIN - 157,68790,MORSCHWILLER LE BAS,Merch,Semaine,3h00,"  5 044,00 € ",523
2022,20pwz,LEROY MERLIN - 157,68790,MORSCHWILLER LE BAS,Merch,Semaine,3h00,"  5 616,00 € ",523
2022,20pzs,LEROY MERLIN - 028,72230,MULSANNE,Merch,Semaine,4h30,"  7 565,00 € ",497
2022,20rjk,LEROY MERLIN - 180,92000,NANTERRE,Merch,Semaine,4h00,"  6 725,00 € ",311
2022,59n92,LEROY MERLIN - 084,59960,NEUVILLE EN FERRAIN,Merch,Semaine,2h30,"  4 203,00 € ",499
2022,20n3x,LEROY MERLIN - 006,06200,NICE,Merch,Semaine,4h30,"  7 565,00 € ",380
2022,20nsx,LEROY MERLIN - 080,30942,NIMES,Merch,Semaine,4h00,"  6 725,00 € ",441
2022,79n42,LEROY MERLIN - 081,79000,NIORT,Merch,Quinzaine,2h00,"  1 771,00 € ",415
2022,20rm2,LEROY MERLIN - 023,95520,OSNY,Merch,Semaine,3h00,"  5 044,00 € ",292
2022,20rm2,LEROY MERLIN - 023,95520,OSNY,Merch,Semaine,3h00,"  5 044,00 € ",292
2022,20pvp,LEROY MERLIN - 199,67540,OSTWALD,Merch,Semaine,3h30,"  6 552,00 € ",523
2022,20pvp,LEROY MERLIN - 199,67540,OSTWALD,Merch,Semaine,3h30,"  5 884,00 € ",523
2022,20r34,LEROY MERLIN - 196,75008,PARIS,Merch,Semaine,4h00,"  6 725,00 € ",285
2022,20r2v,LEROY MERLIN - 055,75003,PARIS,Merch,Semaine,5h00,"  8 406,00 € ",285
2022,20r2v,LEROY MERLIN - 055,75003,PARIS,Merch,Semaine,5h00,"  8 406,00 € ",285
2022,20r2b,LEROY MERLIN - 182,75012,PARIS,Merch,Semaine,4h00,"  6 725,00 € ",285
2022,20ptx,LEROY MERLIN - 041,64004,PAU,Merch,Semaine,2h00,"  3 362,00 € ",413
2022,20puw,LEROY MERLIN - 171,66025,PERPIGNAN,Merch,Semaine,2h30,"  4 203,00 € ",315
2022,20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,Merch,Semaine,3h00,"  5 044,00 € ",478
2022,83n25,LEROY MERLIN - 192,83480,PUGET SUR ARGENS,Merch,Quinzaine,3h00,"  2 656,00 € ",380
2022,20nbj,LEROY MERLIN - 139,17138,PUILBOREAU,Merch,Semaine,4h00,"  6 725,00 € ",415
2022,20nh3,LEROY MERLIN - 018,21800,QUETIGNY,Merch,Semaine,4h00,"  6 725,00 € ",376
2022,20phh,LEROY MERLIN - 027,56530,QUEVEN,Merch,Semaine,3h00,"  5 616,00 € ",443
2022,20phh,LEROY MERLIN - 027,56530,QUEVEN,Merch,Semaine,3h00,"  5 044,00 € ",443
2022,20nrr,LEROY MERLIN - 181,29000,QUIMPER,Merch,Semaine,3h00,"  5 044,00 € ",443
2022,20nrr,LEROY MERLIN - 181,29000,QUIMPER,Merch,Semaine,3h00,"  5 616,00 € ",443
2022,20pct,LEROY MERLIN - 144,51060,REIMS,Merch,Semaine,1h30,"  2 522,00 € ",536
2022,20p5p,LEROY MERLIN - 053,44406,REZE,Merch,Semaine,4h00,"  6 725,00 € ",444
2022,20pv9,LEROY MERLIN - 158,66600,RIVESALTES,Merch,Semaine,2h30,"  4 203,00 € ",315
2022,20ntn,LEROY MERLIN - 150,31120,ROQUES,Merch,Semaine,5h00,"  8 406,00 € ",315
2022,20rjz,LEROY MERLIN - 063,93110,ROSNY SOUS BOIS,Merch,Semaine,4h00,"  6 725,00 € ",285
2022,20rjz,LEROY MERLIN - 063,93110,ROSNY SOUS BOIS,Merch,Semaine,4h00,"  6 725,00 € ",285
2022,20rjp,LEROY MERLIN - 161,92500,RUEIL MALMAISON,Merch,Quinzaine,4h00,"  3 541,00 € ",311
2022,20nb8,LEROY MERLIN - 165,16800,SOYAUX,Merch,Semaine,2h00,"  3 362,00 € ",415
2022,20pbd,LEROY MERLIN - 054,49124,ST BARTHELEMY D ANJOU,Merch,Semaine,4h00,"  6 725,00 € ",460
2022,20rjx,LEROY MERLIN - 115,93216,ST DENIS,Merch,Semaine,4h00,"  6 725,00 € ",285
2022,20ncs,LEROY MERLIN - 019,18230,ST DOULCHARD,Merch,Quinzaine,3h00,"  2 656,00 € ",350
2022,20p1b,LEROY MERLIN - 194,38120,ST EGREVE,Merch,Semaine,3h00,"  5 044,00 € ",347
2022,20p1b,LEROY MERLIN - 194,38120,ST EGREVE,Merch,Semaine,3h00,"  5 616,00 € ",347
2022,20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,Merch,Quinzaine,3h30,"  3 099,00 € ",348
2022,20rhh,LEROY MERLIN - 024,91700,ST GENEVIEVE DES BOIS,Merch,Semaine,7h00,"  11 768,00 € ",524
2022,20nxb,LEROY MERLIN - 015,34433,ST JEAN DE VEDAS,Merch,Quinzaine,3h00,"  2 522,00 € ",441
2022,20pr1,LEROY MERLIN - 043,62280,ST MARTIN BOULOGNE,Merch,Semaine,2h00,"  3 362,00 € ",521
2022,20rk1,LEROY MERLIN - 089,93584,ST OUEN CEDEX,Merch,Semaine,3h00,"  5 044,00 € ",285
2022,20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,Merch,Semaine,4h00,"  6 725,00 € ",348
2022,20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,Merch,Semaine,4h00,"  7 488,00 € ",348
2022,20pvr,LEROY MERLIN - 040,67200,STRASBOURG,Merch,Semaine,2h30,"  4 203,00 € ",523
2022,20pvr,LEROY MERLIN - 040,67200,STRASBOURG,Merch,Semaine,2h30,"  4 680,00 € ",523
2022,20pxf,LEROY MERLIN - 117,69811,TASSIN LA DEMI LUNE,Merch,Semaine,4h00,"  6 725,00 € ",348
2022,20pxf,LEROY MERLIN - 117,69811,TASSIN LA DEMI LUNE,Merch,Semaine,4h00,"  7 488,00 € ",348
2022,20phk,LEROY MERLIN - 146,56450,THEIX,Merch,Quinzaine,3h00,"  2 656,00 € ",444
2022,20n0x,LEROY MERLIN - 167,01710,THOIRY,Merch,Semaine,3h00,"  5 044,00 € ",323
2022,20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,Merch,Semaine,3h00,"  5 044,00 € ",478
2022,20p0m,LEROY MERLIN - 059,37075,TOURS,Merch,Semaine,2h00,"  3 362,00 € ",460
2022,20r3p,LEROY MERLIN - 064,76410,TOURVILLE LA RIVIERE,Merch,Semaine,4h00,"  6 725,00 € ",480
2022,20p7b,LEROY MERLIN - 296,44570,TRIGNAC,Merch,Semaine,3h00,"  5 044,00 € ",444
2022,20nmw,LEROY MERLIN - 166,26000,VALENCE,Merch,Semaine,3h30,"  5 884,00 € ",378
2022,20pwb,LEROY MERLIN - 131,67550,VENDENHEIM,Merch,Semaine,3h00,"  5 044,00 € ",523
2022,20pr2,LEROY MERLIN - 012,62880,VENDIN LE VIEIL,Merch,Semaine,2h30,"  4 203,00 € ",521
2022,20uek,LEROY MERLIN - 085,69200,VENISSIEUX,Merch,Semaine,4h00,"  6 725,00 € ",348
2022,20uek,LEROY MERLIN - 085,69200,VENISSIEUX,Merch,Semaine,4h00,"  7 488,00 € ",348
2022,20ppy,LEROY MERLIN - 164,62131,VERQUIN,Merch,Semaine,2h30,"  4 203,00 € ",521
2022,20pkx,LEROY MERLIN - 011,59650,VILLENEUVE D'ASCQ,Merch,Semaine,3h00,"  5 044,00 € ",499
2022,20pkx,LEROY MERLIN - 011,59650,VILLENEUVE D'ASCQ,Merch,Semaine,1h30,"  2 522,00 € ",499
